"",gene_symbol,GSM2715271,GSM2715272,GSM2715273,GSM2715274,GSM2715275,GSM2715276,GSM2715277,GSM2715278,GSM2715279
ENSG00000000003,TSPAN6,7.1284,2.0701,110.0389,1.0076,35.6101,0,150.9599,129.2966,53.0319
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,3.8961,0,14.076,0,11.1762,0.9671,96.7239,28.28,15.3153
ENSG00000000457,SCYL3,0,0,0,0,0,1.0335,7.11,3.9436,1.995
ENSG00000000460,C1orf112,0,0,0,0,1.9612,0,3.6687,4.0098,2.079
ENSG00000000938,FGR,0,0,0,0,0,0,0,0,0
ENSG00000000971,CFH,5.0146,6.1036,0,4.0283,0,9.1603,32.5826,5.8996,0.9694
ENSG00000001036,FUCA2,0,0,30.6529,1.0086,5.9,0,88.6658,94.6409,49.0434
ENSG00000001084,GCLC,1.0332,1.353,0.9874,0,0.9833,0,1.9724,6.9144,0.9839
ENSG00000001167,NFYA,2.0669,0,1.9747,0,0.9943,1.0225,4.8863,2.9579,2.9436
ENSG00000001460,STPG1,0,0,0,0,0,1.0271,0,0,3.0218
ENSG00000001461,NIPAL3,0,1.013,0.9857,0,0,0,13.8372,0,2.9798
ENSG00000001497,LAS1L,0,0,0.9914,0,8.8592,0,14.7452,9.8274,4.9025
ENSG00000001561,ENPP4,0,0,6.9045,0,0.9721,0,2.9236,0.9781,1.9356
ENSG00000001617,SEMA3F,0,0,0,0,2.0356,0,0,1.017,0
ENSG00000001626,CFTR,0,0,3.047,0,0,0,0,0,1.0404
ENSG00000001629,ANKIB1,0,1.0415,4.932,0,0,0,4.8609,0.9887,1.9298
ENSG00000001630,CYP51A1,0,0,41.8954,0,15.6334,2.0402,39.4721,57.0477,66.4652
ENSG00000001631,KRIT1,0,0,0,0,0.9737,0.9787,15.7039,7.9559,2.9966
ENSG00000002016,RAD52,1.0022,0,2.0593,0,0,0,9.9896,0.9851,2.2299
ENSG00000002330,BAD,0,1.941,7.0755,0,2.0541,0,16.4709,11.1915,14.4612
ENSG00000002549,LAP3,7.0814,0,48.6614,2.0097,2.9866,1.0084,17.0368,15.8801,25.6955
ENSG00000002586,CD99,5.9218,1.9177,20.0664,1.9788,14.2423,0.9693,112.7183,36.2078,59.7579
ENSG00000002587,HS3ST1,0,0,4.968,1.018,0,0,0.9704,1.9502,1.0352
ENSG00000002726,AOC1,0,0.9974,148.5086,0,0,0,0,0,0.9778
ENSG00000002745,WNT16,0,0,0,0,0,0,0,0,0
ENSG00000002746,HECW1,0,0,0,0,0,0,0,0,0
ENSG00000002822,MAD1L1,0,1.8525,3.0408,0,1.0321,0.9651,7.9727,5.0903,2.0072
ENSG00000002834,LASP1,1.1193,0,13.6501,0,7.8061,0,9.3299,8.4466,20.3647
ENSG00000002919,SNX11,0.9569,0,5.9667,0.9851,3.032,0.9657,13.8541,2.0038,1.9628
ENSG00000002933,TMEM176A,7.9036,3.9489,247.4739,2.9985,0,1.0007,25.1871,26.0559,112.946
ENSG00000003056,M6PR,0,0.9341,17.9078,0.9866,10.9397,0.9673,108.007,16.0285,13.8678
ENSG00000003096,KLHL13,0,0,0,0,0,1.0143,0,0.9821,0.9699
ENSG00000003137,CYP26B1,0,0,0,0,0,0,0,0,0
ENSG00000003147,ICA1,0,0.9718,14.9329,0,4.0457,0,1.048,17.8794,7.897
ENSG00000003249,DBNDD1,1.016,0,3.9593,0,9.8665,0,0,7.9049,3.939
ENSG00000003393,ALS2,3.0795,0.9351,0.985,0,0.9769,1.9821,2.9147,4.9242,0
ENSG00000003400,CASP10,0,0.9664,10.9696,0,1.0145,0,3.0104,1.959,5.1874
ENSG00000003402,CFLAR,5.1399,9.8459,11.8793,0,3.0866,3.8538,18.3313,13.4169,22.2185
ENSG00000003436,TFPI,10.024,11.0847,31.9399,0,1.0793,12.3963,158.0168,49.7103,14.7269
ENSG00000003509,NDUFAF7,0,0,0,0,17.8348,1.9355,9.9101,5.0404,2.0081
ENSG00000003756,RBM5,1.0295,3.6791,14.3325,1.0122,3.9777,4.2479,37.3467,23.7076,15.6638
ENSG00000003987,MTMR7,0,0,0,0,0.9744,0,1.048,0,0
ENSG00000003989,SLC7A2,3.1291,1.0436,0,0,0,1.0287,12.6195,2.9288,0.9631
ENSG00000004059,ARF5,1.9128,0,17.0641,0.9916,15.2572,0,42.7879,26.2277,14.2594
ENSG00000004139,SARM1,0,0,0,0,0,0,0,0,0
ENSG00000004142,POLDIP2,1.0008,3.0612,11.9058,2.014,8.9096,1.0012,43.4628,21.8341,9.9379
ENSG00000004399,PLXND1,0,0.934,0,1.0175,3.9802,0,12.7883,0,0
ENSG00000004455,AK2,6.9344,1.6231,39.7206,2.0045,5.8777,2.9144,54.8178,54.1449,53.0546
ENSG00000004468,CD38,0,3.1223,0,1.0164,0,0,0,0,0.9656
ENSG00000004478,FKBP4,1.033,0,3.9499,0,21.4459,0,33.4367,22.5391,13.5927
ENSG00000004487,KDM1A,0,3.0916,0,0,21.5174,1.0179,41.1723,31.429,21.4421
ENSG00000004534,RBM6,1.0119,3.9299,8.9426,0,4.9826,2.9374,18.3567,6.8812,7.8597
ENSG00000004660,CAMKK1,0,0,0.9872,0,0,0,2.9335,0,0.9702
ENSG00000004700,RECQL,2.0472,0,1.6996,0,2.9248,2.0323,20.994,0,0
ENSG00000004766,VPS50,0,0.5576,4.0464,0,0.9758,1.0087,7.948,6.9105,4.8556
ENSG00000004776,HSPB6,0,0,0,0,0.9999,0,80.2702,1.499,0
ENSG00000004777,ARHGAP33,0,0,0,0,0,0,0,0,0
ENSG00000004779,NDUFAB1,3.7951,1.9023,10.2427,0.9963,19.6028,2.905,86.6716,25.7121,18.7509
ENSG00000004799,PDK4,1.0321,1.0206,13.8283,0,0,1.0217,39.1062,0,0
ENSG00000004809,SLC22A16,0,1.0118,0,0,0,0,0,0,0
